"Familia";"Especie";"Habito";"Fenologia";"Luminosidade";"Substrato";"Longevidade";"Rebroto"
ERIOCAULACEAE;Comanthera pignalii;herb;;heliophytic;terrestrial;perennial;;
Fabaceae;Albizia robsonii;small tree;semideciduifolia;heliophytic;terrestrial;unkown;unkown;
RUBIACEAE;Bradea borrerioides;subshrub;perenifolia;mesophytic;saxicolous;unkown;unkown;
BROMELIACEAE;Encholirum splendidum;herb;;;rupicolous;;;
BROMELIACEAE;Encholirium splendidum;herb;;;rupicolous;;;
ERIOCAULACEAE;Syngonanthus incurvifolius;herb;perenifolia;heliophytic;terrestrial;perennial;unkown;
ERIOCAULACEAE;Syngonanthus vittatus;herb;perenifolia;heliophytic;terrestrial;perennial;;
CYPERACEAE;Abildgaardia papillosa;herb;;;;anual;unkown;
ORCHIDACEAE;Acianthera amaralii;herb;;;;unkown;unkown;
MALPIGHIACEAE;Acmanthera fernandesii;tree;;;;;;
ERIOCAULACEAE;Actinocephalus aggregatus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Actinocephalus callophyllus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Actinocephalus compactus;herb;;;;perennial;unkown;
ERIOCAULACEAE;Actinocephalus coutoensis;herb;;;;perennial;unkown;
ERIOCAULACEAE;Actinocephalus deflexus;herb;;;;perennial;unkown;
ERIOCAULACEAE;Actinocephalus diffusus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Actinocephalus falcifolius;herb;;;;unkown;unkown;
ERIOCAULACEAE;Actinocephalus fimbriatus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Actinocephalus glabrescens;herb;;;;unkown;unkown;
ERIOCAULACEAE;Actinocephalus graminifolius;herb;;;;unkown;unkown;
ERIOCAULACEAE;Actinocephalus herzogii;herb;;;;unkown;unkown;
ERIOCAULACEAE;Actinocephalus nodifer;herb;;;;unkown;unkown;
ERIOCAULACEAE;Actinocephalus robustus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Actinocephalus stereophyllus;herb;;;;unkown;unkown;
BIGNONIACEAE;Adenocalymma subspicatum;liana;;;;unkown;unkown;
FABACEAE;Aeschynomene graminoides;herb;;;terrestrial;unkown;yes;
FABACEAE;Aeschynomene simplicifolia;herb;;;;unkown;yes;
BROMELIACEAE;Alcantarea burle-marxii;herb;;heliophytic;rupicolous;unkown;unkown;
BROMELIACEAE;Alcantarea hatschbachii;herb;;;rupicolous;unkown;unkown;
ALSTROEMERIACEAE;Alstroemeria chapadensis;herb;;;;unkown;unkown;
MALPIGHIACEAE;Amorimia velutina;liana;;;;;;
POACEAE;Andropogon campestris;herb;;;;perennial;unkown;
PLANTAGINACEAE;Angelonia pratensis;herb;;;;unkown;yes;
ARACEAE;Anthurium megapetiolatum;herb;;;;unkown;unkown;
CUCURBITACEAE;Apodanthera villosa;liana;;;;unkown;unkown;
APODANTHACEAE;Apodanthes minarum;liana;;;epiphytic;unkown;unkown;
POLYGALACEAE;Asemeia marquesiana;herb;deciduifolia;;terrestrial;;;
POLYGALACEAE;Asemeia pohliana;herb;;;terrestrial;;;
ASTERACEAE;Aspilia discolor;subshrub;;;;unkown;unkown;
ASTERACEAE;Aspilia goiazensis;herb;;;;unkown;unkown;
ASTERACEAE;Aspilia hatschbachii;bush;;heliophytic;saxicolous;unkown;unkown;
ASTERACEAE;Aspilia podophylla;subshrub;;;;unkown;unkown;
ASTERACEAE;Aspilia pseudoyedaea;subshrub;;heliophytic;saxicolous;unkown;unkown;
ARECACEAE;Attalea pindobassu;tree;;;;unkown;yes;
POACEAE;Axonopus aureus;herb;;;;perennial;yes;
POACEAE;Axonopus grandifolius;herb;;;terrestrial;anual;unkown;
MALPIGHIACEAE;Banisteriopsis arborea;tree;;;;;;
MALPIGHIACEAE;Banisteriopsis byssacea;bush;;;;;;
MALPIGHIACEAE;Banisteriopsis goiana;bush;;;;;;
VELLOZIACEAE;Barbacenia andersonii;herb;;;;unkown;unkown;
VELLOZIACEAE;Barbacenia blackii;herb;;;;unkown;unkown;
VELLOZIACEAE;Barbacenia contasana;herb;;;;unkown;unkown;
VELLOZIACEAE;Barbacenia cylindrica;herb;;;;unkown;unkown;
VELLOZIACEAE;Barbacenia fulva;herb;;;;unkown;unkown;
VELLOZIACEAE;Barbacenia glabra;herb;;;;unkown;unkown;
VELLOZIACEAE;Barbacenia hatschbachii;herb;;;;unkown;unkown;
VELLOZIACEAE;Barbacenia lymansmithii;herb;;;;unkown;unkown;
VELLOZIACEAE;Barbacenia minima;herb;;;;unkown;unkown;
VELLOZIACEAE;Barbacenia reflexa;herb;;;;perennial;unkown;
VELLOZIACEAE;Barbacenia regis;herb;;;;unkown;unkown;
VELLOZIACEAE;Barbacenia umbrosa;herb;;;;unkown;unkown;
VELLOZIACEAE;Barbacenia williamsii;;;;;unkown;unkown;
APOCYNACEAE;Barjonia grazielae;bush;;;;unkown;unkown;
FABACEAE;Bauhinia candelabriformis;bush;;;;unkown;unkown;
FABACEAE;Bauhinia leptantha;bush;;;;unkown;yes;
FABACEAE;Bauhinia malacotrichoides;herb;;;;unkown;yes;
ASTERACEAE;Bidens edentula;bush;;;;unkown;unkown;
APOCYNACEAE;Blepharodon hatschbachii;herb;;;;unkown;unkown;
FABACEAE;Bocoa ratteri;tree;;;;unkown;unkown;
CONVOLVULACEAE;Bonamia kuhlmannii;liana;;;;unkown;unkown;
RUBIACEAE;Borreria amapaensis;herb;;;;unkown;unkown;
RUBIACEAE;Borreria burchellii;;;;;unkown;unkown;
RUBIACEAE;Borreria gracillima;;;;;unkown;unkown;
RUBIACEAE;Borreria guimaraesensis;herb;;;;unkown;unkown;
RUBIACEAE;Borreria irwiniana;;;;;unkown;yes;
RUBIACEAE;Borreria paulista;;;;;unkown;unkown;
RUBIACEAE;Borreria rosmarinifolia;;;;;unkown;unkown;
RUBIACEAE;Borreria tocantinsiana;;;;;anual;unkown;
VERBENACEAE;Bouchea chascanoides;bush;;;;;;
VERBENACEAE;Bouchea fluminensis;herb;;;;perennial;;
SOLANACEAE;Brunfelsia rupestris;bush;;;;unkown;unkown;
SCROPHULARIACEAE;Buddleja longiflora;bush;;;;unkown;unkown;
SCROPHULARIACEAE;Buddleja speciosissima;bush;;;;unkown;unkown;
CYPERACEAE;Bulbostylis lombardii;herb;;;;perennial;unkown;
MALPIGHIACEAE;Byrsonima cordifolia;tree;;;;;;
MALPIGHIACEAE;Byrsonima hatschbachii;bush;;;;;;
ASTERACEAE;Calea irwinii;bush;;heliophytic;;unkown;unkown;
FABACEAE;Calliandra gardneri;bush;;;;unkown;unkown;
FABACEAE;Calliandra imbricata;bush;;;;unkown;unkown;
FABACEAE;Calliandra linearis;herb;;;;unkown;yes;
FABACEAE;Calliandra santosiana;bush;;;;unkown;unkown;
FABACEAE;Calliandra semisepulta;bush;;;;unkown;yes;
VOCHYSIACEAE;Callisthene erythroclada;tree;;;;unkown;unkown;
MYRTACEAE;Calycolpus australis;bush;;;;unkown;unkown;
MELASTOMATACEAE;Cambessedesia cambessedesioides;bush;perenifolia;heliophytic;terrestrial;perennial;unkown;
MELASTOMATACEAE;Cambessedesia pityrophylla;bush;;heliophytic;terrestrial;unkown;unkown;
MELASTOMATACEAE;Cambessedesia salviifolia;bush;;;;unkown;unkown;
MELASTOMATACEAE;Cambessedesia semidecandra;subshrub;;heliophytic;terrestrial;unkown;unkown;
CUCURBITACEAE;Cayaponia rugosa;herb;;;;unkown;unkown;
MELASTOMATACEAE;Chaetostoma flavum;bush;;;;unkown;unkown;
MELASTOMATACEAE;Chaetostoma inerme;bush;;;;unkown;unkown;
MELASTOMATACEAE;Chaetostoma scoparium;bush;;;;unkown;unkown;
MELASTOMATACEAE;Chaetostoma selagineum;bush;;;;unkown;unkown;
MELASTOMATACEAE;Chaetostoma stenocladon;bush;;;;unkown;unkown;
FABACEAE;Chamaecrista adamantina;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista altoana;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista caiapo;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista caracensis;bush;;;;unkown;unkown;
FABACEAE;Chamaecrista catapodia;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista catiarae;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista centiflora;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista coradinii;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista coriacea;bush;;;rupicolous;unkown;unkown;
FABACEAE;Chamaecrista deltoidea;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista dumalis;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista ericifolia;bush;;;;unkown;unkown;
FABACEAE;Chamaecrista fuscescens;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista geraldii;bush;;;terrestrial;unkown;unkown;
FABACEAE;Chamaecrista gumminans;bush;;;;unkown;unkown;
FABACEAE;Chamaecrista gymnothyrsa;bush;;;;unkown;unkown;
FABACEAE;Chamaecrista hatschbachii;bush;;;;unkown;unkown;
FABACEAE;Chamaecrista itabiritoana;bush;;;;unkown;unkown;
FABACEAE;Chamaecrista ixodes;bush;;;;unkown;unkown;
